LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL,,
2010-11,721,Richmond County,4060,Academy of Richmond County High School,Combined,1267239,84240,1289,207,1338,1218,1189,,
2010-11,601,Appling County,103,Appling County High School,Mathematics,1267239,84799,86,86,490,457,457,,
2010-11,601,Appling County,103,Appling County High School,Reading,1267239,84686,85,85,486,464,464,,
2010-11,601,Appling County,103,Appling County High School,Writing,1267239,83235,85,85,361,347,347,,
2011-12,721,Richmond County,4060,Academy of Richmond County High School,Combined,1284459,86367,1212,231,1342,1267,1276,,
2010-11,602,Atkinson County,103,Atkinson County High School,Mathematics,1267239,84799,34,34,490,441,441,,
2010-11,602,Atkinson County,103,Atkinson County High School,Reading,1267239,84686,35,35,486,440,440,,
2010-11,602,Atkinson County,103,Atkinson County High School,Writing,1267239,83235,34,34,361,352,352,,
2012-13,721,Richmond County,4060,Academy of Richmond County High School,Combined,1295267,86088,969,166,1337,1266,1228,,
2010-11,603,Bacon County,302,Bacon County High School,Mathematics,1267239,84799,59,59,490,462,462,,
2010-11,603,Bacon County,302,Bacon County High School,Reading,1267239,84686,56,56,486,460,460,,
2010-11,603,Bacon County,302,Bacon County High School,Writing,1267239,83235,56,56,361,381,381,,
2013-14,721,Richmond County,4060,Academy of Richmond County High School,Combined,1306039,82852,888,194,1352,1278,1185,,
2010-11,604,Baker County,105,Baker County K12 School,Mathematics,1267239,84799,11,11,490,382,382,,
2010-11,604,Baker County,105,Baker County K12 School,Reading,1267239,84686,11,11,486,331,331,,
2010-11,604,Baker County,105,Baker County K12 School,Writing,1267239,83235,11,11,361,274,274,,
2014-15,601,Appling County,103,Appling County High School,Combined,1332096,84860,150,150,1352,1304,1304,,
2010-11,605,Baldwin County,189,Baldwin High School,Mathematics,1267239,84799,199,199,490,439,439,,
2010-11,605,Baldwin County,189,Baldwin High School,Reading,1267239,84686,198,198,486,435,435,,
2010-11,605,Baldwin County,189,Baldwin High School,Writing,1267239,83235,196,196,361,352,352,,
2015-16,601,Appling County,103,Appling County High School,Combined Test Score,,28212.33333,34,34,1084,1055,1055,,NEW SCALE
2010-11,606,Banks County,199,Banks County High School,Mathematics,1267239,84799,92,92,490,487,487,,
2010-11,606,Banks County,199,Banks County High School,Reading,1267239,84686,92,92,486,476,476,,
2010-11,606,Banks County,199,Banks County High School,Writing,1267239,83235,89,89,361,347,347,,
2016-17,601,Appling County,103,Appling County High School,Combined Test Score,1715481,62394.33333,94.33333333,94.33333333,1053,1031,1031,,NEW SCALE
2010-11,607,Barrow County,101,Apalachee High School,Mathematics,1267239,84799,411,199,490,464,467,,
2010-11,607,Barrow County,101,Apalachee High School,Reading,1267239,84686,409,198,486,474,476,,
2010-11,607,Barrow County,101,Apalachee High School,Writing,1267239,83235,406,197,361,364,364,,
2017-18,601,Appling County,103,Appling County High School,Combined Test Score,2136539,65795,102,102,1052,1020,1020,,NEW SCALE
2010-11,607,Barrow County,3052,Winder-Barrow High School,Mathematics,1267239,84799,411,212,490,464,461,,
2010-11,607,Barrow County,3052,Winder-Barrow High School,Reading,1267239,84686,409,211,486,474,471,,
2010-11,607,Barrow County,3052,Winder-Barrow High School,Writing,1267239,83235,406,209,361,364,363,,
2018-19,601,Appling County,103,Appling County High School,Combined Test Score,2220087,49345,78,78,1027,1002,1002,,NEW SCALE
2010-11,608,Bartow County,105,Adairsville High School,Mathematics,1267239,84799,409,126,490,488,476,,
2010-11,608,Bartow County,105,Adairsville High School,Reading,1267239,84686,403,125,486,486,466,,
2010-11,608,Bartow County,105,Adairsville High School,Writing,1267239,83235,400,125,361,383,390,,
2010-11,608,Bartow County,105,Adairsville High School,Combined,1267239,84240,404,125,1338,1357,1332,,
2010-11,608,Bartow County,198,Woodland High School,Mathematics,1267239,84799,409,175,490,488,489,,
2010-11,608,Bartow County,198,Woodland High School,Reading,1267239,84686,403,172,486,486,502,,
2010-11,608,Bartow County,198,Woodland High School,Writing,1267239,83235,400,170,361,383,404,,
2011-12,608,Bartow County,105,Adairsville High School,Combined,1284459,86367,390,82,1342,1351,1296,,
2010-11,608,Bartow County,577,Cass High School,Mathematics,1267239,84799,409,108,490,488,501,,
2010-11,608,Bartow County,577,Cass High School,Reading,1267239,84686,403,106,486,486,483,,
2010-11,608,Bartow County,577,Cass High School,Writing,1267239,83235,400,105,361,383,342,,
2012-13,608,Bartow County,105,Adairsville High School,Combined,1295267,86088,427,119,1337,1351,1341,,
2010-11,609,Ben Hill County,291,Fitzgerald High School,Mathematics,1267239,84799,97,97,490,430,430,,
2010-11,609,Ben Hill County,291,Fitzgerald High School,Reading,1267239,84686,98,98,486,420,420,,
2010-11,609,Ben Hill County,291,Fitzgerald High School,Writing,1267239,83235,96,96,361,355,355,,
2013-14,608,Bartow County,105,Adairsville High School,Combined,1306039,82852,456,134,1352,1377,1416,,
2010-11,610,Berrien County,101,Berrien High School,Mathematics,1267239,84799,105,105,490,459,459,,
2010-11,610,Berrien County,101,Berrien High School,Reading,1267239,84686,105,105,486,464,464,,
2010-11,610,Berrien County,101,Berrien High School,Writing,1267239,83235,105,105,361,399,399,,
2014-15,602,Atkinson County,103,Atkinson County High School,Combined,1332096,84860,50,50,1352,1211,1211,,
2010-11,611,Bibb County,105,Howard High School,Mathematics,1267239,84799,1019,217,490,427,449,,
2010-11,611,Bibb County,105,Howard High School,Reading,1267239,84686,1021,217,486,434,461,,
2010-11,611,Bibb County,105,Howard High School,Writing,1267239,83235,1009,217,361,324,326,,
2015-16,602,Atkinson County,103,Atkinson County High School,Combined Test Score,,28212.33333,11,11,1084,991,991,,NEW SCALE
2010-11,611,Bibb County,186,Central High School,Mathematics,1267239,84799,1019,164,490,427,453,,
2010-11,611,Bibb County,186,Central High School,Reading,1267239,84686,1021,163,486,434,467,,
2010-11,611,Bibb County,186,Central High School,Writing,1267239,83235,1009,163,361,324,343,,
2016-17,602,Atkinson County,103,Atkinson County High School,Combined Test Score,1715481,62394.33333,41,41,1053,1020,1020,,NEW SCALE
2010-11,611,Bibb County,198,Westside High School,Mathematics,1267239,84799,1019,179,490,427,418,,
2010-11,611,Bibb County,198,Westside High School,Reading,1267239,84686,1021,177,486,434,418,,
2010-11,611,Bibb County,198,Westside High School,Writing,1267239,83235,1009,175,361,324,318,,
2017-18,602,Atkinson County,103,Atkinson County High School,Combined Test Score,2136539,65795,55,55,1052,994,994,,NEW SCALE
