New_SAT,Old_Max
1600,2400
1590,2380
1580,2350
1570,2330
1560,2310
1550,2290
1540,2260
1530,2240
1520,2220
1510,2200
1500,2170
1490,2150
1480,2130
1470,2110
1460,2090
1450,2080
1440,2060
1430,2040
1420,2020
1410,2010
1400,1990
1390,1970
1380,1960
1370,1940
1360,1920
1350,1910
1340,1890
1330,1870
1320,1860
1310,1840
1300,1830
1290,1810
1280,1790
1270,1780
1260,1760
1250,1750
1240,1730
1230,1720
1220,1700
1210,1690
1200,1670
1190,1650
1180,1640
1170,1620
1160,1610
1150,1590
1140,1580
1130,1560
1120,1550
1110,1530
1100,1510
1090,1500
1080,1480
1070,1470
1060,1450
1050,1440
1040,1420
1030,1410
1020,1390
1010,1370
1000,1360
990,1340
980,1330
970,1310
960,1300
950,1290
940,1270
930,1260
920,1240
910,1230
900,1210
890,1200
880,1180
870,1170
860,1150
850,1140
840,1120
830,1110
820,1090
810,1080
800,1060
790,1040
780,1030
770,1010
760,1000
750,980
740,970
730,950
720,930
710,920
700,900
690,890
680,870
670,860
660,850
650,840
640,830
630,820
620,810
610,800
600,790
590,780
580,770
570,760
560,750
550,740
540,730
530,730
520,720
510,710
500,700
490,690
480,680
470,670
460,660
450,650
440,640
430,630
420,620
410,610
400,600
