GISJOIN,YEAR,STATE,STATEA,School_DSTRCT_CD,SDUNI,SDUNIA,NAME_E,AJY9E001,AJY9E002,AJY9E003,AJY9E004,AJY9E005,AJY9E006,AJY9E007,AJY9E008,AJY9E009,AJY9E010,AJY9E011,AJY9E012,AJY9E013,AJY9E014,AJY9E015,AJY9E016,AJY9E017,Income 30k-,pct_L_30k,Income 100k+,pct_h_100k,AVG,DC,,
G13000060,2014-2018,Georgia,13,601,Appling County School District,60,"Appling County School District, Georgia",6682,612,528,430,517,396,486,395,295,287,589,666,574,497,165,169,76,2483,37.16,907,13.57,1008.2,601,,
G13000090,2014-2018,Georgia,13,602,Atkinson County School District,90,"Atkinson County School District, Georgia",2785,240,265,174,259,215,245,152,149,121,235,214,267,92,40,62,55,1153,41.4,249,8.94,993.7,602,,
G13000150,2014-2018,Georgia,13,603,Bacon County School District,150,"Bacon County School District, Georgia",3966,410,356,338,251,330,232,208,132,158,215,394,522,231,122,25,42,1685,42.49,420,10.59,796.2,603,,
G13000180,2014-2018,Georgia,13,604,Baker County School District,180,"Baker County School District, Georgia",1385,240,83,58,69,127,98,28,67,59,147,147,95,57,29,72,9,577,41.66,167,12.06,848.8666667,604,,
G13000210,2014-2018,Georgia,13,605,Baldwin County School District,210,"Baldwin County School District, Georgia",16122,2357,1192,1365,895,1066,563,716,657,591,1317,1578,1723,1085,323,425,269,6875,42.64,2102,13.04,810.45,605,,
G13000240,2014-2018,Georgia,13,606,Banks County School District,240,"Banks County School District, Georgia",6603,548,382,459,351,344,311,474,411,276,719,761,771,365,221,145,65,2084,31.56,796,12.06,819.45,606,,
G13000290,2014-2018,Georgia,13,607,Barrow County School District,290,"Barrow County School District, Georgia",25319,1040,1002,1054,1415,1254,1314,1193,1601,1103,2277,3059,3928,2453,1074,973,579,5765,22.77,5079,20.06,836.7,607,,
G13000330,2014-2018,Georgia,13,608,Bartow County School District,330,"Bartow County School District, Georgia",29527,1480,1272,1460,1819,1430,1542,1609,1380,1172,2389,3316,4652,2540,1587,1285,594,7461,25.27,6006,20.34,857.45,608,,
G13000360,2014-2018,Georgia,13,609,Ben Hill County School District,360,"Ben Hill County School District, Georgia",6569,755,867,517,403,426,501,326,369,377,520,541,439,278,141,59,50,2968,45.18,528,8.04,827.7,609,,
G13000390,2014-2018,Georgia,13,610,Berrien County School District,390,"Berrien County School District, Georgia",7322,1033,559,376,514,528,478,317,521,255,556,778,702,290,268,111,36,3010,41.11,705,9.63,835.45,610,,
G13000420,2014-2018,Georgia,13,611,Bibb County School District,420,"Bibb County School District, Georgia",58010,7903,4340,3772,3493,3629,2875,3021,2792,2102,3606,4987,5877,3570,1991,1853,2199,23137,39.88,9613,16.57,848.7,611,,
G13000440,2014-2018,Georgia,13,612,Bleckley County School District,440,"Bleckley County School District, Georgia",4168,547,306,250,260,252,189,101,178,192,502,439,413,260,160,74,45,1615,38.75,539,12.93,853.7,612,,
G13000480,2014-2018,Georgia,13,613,Brantley County School District,480,"Brantley County School District, Georgia",6564,621,613,753,359,315,413,390,419,349,345,527,693,369,241,118,39,2661,40.54,767,11.68,859.7,613,,
G13000540,2014-2018,Georgia,13,614,Brooks County School District,540,"Brooks County School District, Georgia",6350,949,415,569,315,479,464,303,342,194,276,608,601,321,201,174,139,2727,42.94,835,13.15,865.45,614,,
G13000570,2014-2018,Georgia,13,615,Bryan County School District,570,"Bryan County School District, Georgia",12636,785,463,432,689,655,405,455,480,407,765,977,2146,1314,1030,967,666,3024,23.93,3977,31.47,877.2,615,,
G13000630,2014-2018,Georgia,13,616,Bulloch County School District,630,"Bulloch County School District, Georgia",26955,2703,2347,1854,1823,1442,1550,1186,1375,1273,2170,2194,2728,2073,990,583,664,10169,37.73,4310,15.99,890.45,616,,
G13000660,2014-2018,Georgia,13,617,Burke County School District,660,"Burke County School District, Georgia",8184,827,661,549,418,475,500,348,575,411,306,668,1117,675,255,264,135,2930,35.8,1329,16.24,892.7,617,,
G13000690,2014-2018,Georgia,13,618,Butts County School District,690,"Butts County School District, Georgia",8157,590,484,486,690,395,686,490,630,323,475,747,703,601,402,289,166,2645,32.43,1458,17.87,895.95,618,,
G13000750,2014-2018,Georgia,13,619,Calhoun County School District,750,"Calhoun County School District, Georgia",1853,278,179,187,89,139,133,100,138,99,132,153,96,63,12,18,37,872,47.06,130,7.02,894.95,619,,
G13000780,2014-2018,Georgia,13,620,Camden County School District,780,"Camden County School District, Georgia",19327,1113,662,758,942,1272,840,1130,1094,653,1601,2061,2919,1628,1006,1013,635,4747,24.56,4282,22.16,897.2,620,,
G13000810,2014-2018,Georgia,13,621,Candler County School District,810,"Candler County School District, Georgia",3965,652,245,397,300,305,185,276,93,82,314,407,379,128,69,70,63,1899,47.89,330,8.32,889.2,621,,
G13000840,2014-2018,Georgia,13,622,Carroll County School District,840,"Carroll County School District, Georgia",32244,2228,1284,1381,2105,1684,1779,1634,1646,1850,2323,3569,4310,2923,1363,1365,800,8682,26.93,6451,20.01,900.95,622,,
G13000930,2014-2018,Georgia,13,623,Catoosa County School District,930,"Catoosa County School District, Georgia",24636,1052,1305,1196,1439,1346,1108,1300,1036,1240,2267,2699,3187,2340,1192,1204,725,6338,25.73,5461,22.17,893.45,623,,
G13000990,2014-2018,Georgia,13,624,Charlton County School District,990,"Charlton County School District, Georgia",3559,383,184,323,301,180,204,189,199,136,175,354,237,407,194,89,4,1371,38.52,694,19.5,895.2,624,,
G13001020,2014-2018,Georgia,13,625,Chatham County School District,1020,"Chatham County School District, Georgia",108151,7821,5100,4927,5782,5632,5154,5646,4965,4513,8704,10887,13942,9007,5079,5492,5500,29262,27.06,25078,23.19,957.2,625,,
G13001050,2014-2018,Georgia,13,626,Chattahoochee County School District,1050,"Chattahoochee County School District, Georgia",1004,98,118,94,97,27,53,66,62,26,67,89,96,30,41,18,22,434,43.23,111,11.06,896.95,626,,
G13001080,2014-2018,Georgia,13,627,Chattooga County School District,1080,"Chattooga County School District, Georgia",8305,996,844,441,578,690,459,493,436,566,766,652,590,410,176,108,100,3549,42.73,794,9.56,900.2,627,,
G13001110,2014-2018,Georgia,13,628,Cherokee County School District,1110,"Cherokee County School District, Georgia",85825,3060,1840,2927,2745,2556,2945,3097,3458,2737,6456,8526,13298,10382,7050,8054,6694,13128,15.3,32180,37.49,892.7,628,,
